date;class;focuses;uf
2025/01;Fogo em áreas de desmatamento consolidado;14;ACRE
2025/01;Fogo em áreas de desmatamento consolidado;2;AMAPÁ
2025/01;Fogo em áreas de desmatamento consolidado;32;AMAZONAS
2025/01;Fogo em áreas de desmatamento consolidado;163;MARANHÃO
2025/01;Fogo em áreas de desmatamento consolidado;142;MATO GROSSO
2025/01;Fogo em áreas de desmatamento consolidado;241;PARÁ
2025/01;Fogo em áreas de desmatamento consolidado;16;RONDÔNIA
2025/01;Fogo em áreas de desmatamento consolidado;69;RORAIMA
2025/01;Fogo em áreas de desmatamento consolidado;4;TOCANTINS
2025/01;Fogo em áreas de desmatamento recente;20;ACRE
2025/01;Fogo em áreas de desmatamento recente;14;AMAZONAS
2025/01;Fogo em áreas de desmatamento recente;17;MARANHÃO
2025/01;Fogo em áreas de desmatamento recente;28;MATO GROSSO
2025/01;Fogo em áreas de desmatamento recente;83;PARÁ
2025/01;Fogo em áreas de desmatamento recente;8;RONDÔNIA
2025/01;Fogo em áreas de desmatamento recente;112;RORAIMA
2025/01;Fogo em outras áreas;1;MARANHÃO
2025/01;Fogo em áreas de vegetação nativa;1;ACRE
2025/01;Fogo em áreas de vegetação nativa;1;AMAPÁ
2025/01;Fogo em áreas de vegetação nativa;14;AMAZONAS
2025/01;Fogo em áreas de vegetação nativa;5;MARANHÃO
2025/01;Fogo em áreas de vegetação nativa;3;MATO GROSSO
2025/01;Fogo em áreas de vegetação nativa;29;PARÁ
2025/01;Fogo em áreas de vegetação nativa;1;RONDÔNIA
2025/01;Fogo em áreas de vegetação nativa;202;RORAIMA
2025/02;Fogo em áreas de desmatamento consolidado;4;ACRE
2025/02;Fogo em áreas de desmatamento consolidado;5;AMAZONAS
2025/02;Fogo em áreas de desmatamento consolidado;9;MARANHÃO
2025/02;Fogo em áreas de desmatamento consolidado;152;MATO GROSSO
2025/02;Fogo em áreas de desmatamento consolidado;71;PARÁ
2025/02;Fogo em áreas de desmatamento consolidado;17;RONDÔNIA
2025/02;Fogo em áreas de desmatamento consolidado;19;RORAIMA
2025/02;Fogo em áreas de desmatamento recente;4;AMAZONAS
2025/02;Fogo em áreas de desmatamento recente;3;MARANHÃO
2025/02;Fogo em áreas de desmatamento recente;26;MATO GROSSO
2025/02;Fogo em áreas de desmatamento recente;14;PARÁ
2025/02;Fogo em áreas de desmatamento recente;5;RONDÔNIA
2025/02;Fogo em áreas de desmatamento recente;30;RORAIMA
2025/02;Fogo em outras áreas;2;AMAZONAS
2025/02;Fogo em outras áreas;1;RORAIMA
2025/02;Fogo em áreas de vegetação nativa;1;ACRE
2025/02;Fogo em áreas de vegetação nativa;1;AMAPÁ
2025/02;Fogo em áreas de vegetação nativa;1;MATO GROSSO
2025/02;Fogo em áreas de vegetação nativa;1;PARÁ
2025/02;Fogo em áreas de vegetação nativa;3;RONDÔNIA
2025/02;Fogo em áreas de vegetação nativa;33;RORAIMA
2025/03;Fogo em áreas de desmatamento consolidado;1;AMAPÁ
2025/03;Fogo em áreas de desmatamento consolidado;17;AMAZONAS
2025/03;Fogo em áreas de desmatamento consolidado;3;MARANHÃO
2025/03;Fogo em áreas de desmatamento consolidado;259;MATO GROSSO
2025/03;Fogo em áreas de desmatamento consolidado;43;PARÁ
2025/03;Fogo em áreas de desmatamento consolidado;13;RONDÔNIA
2025/03;Fogo em áreas de desmatamento consolidado;111;RORAIMA
2025/03;Fogo em áreas de desmatamento consolidado;2;TOCANTINS
2025/03;Fogo em áreas de desmatamento recente;2;AMAZONAS
2025/03;Fogo em áreas de desmatamento recente;23;MATO GROSSO
2025/03;Fogo em áreas de desmatamento recente;15;PARÁ
2025/03;Fogo em áreas de desmatamento recente;2;RONDÔNIA
2025/03;Fogo em áreas de desmatamento recente;190;RORAIMA
2025/03;Fogo em áreas de vegetação nativa;5;AMAZONAS
2025/03;Fogo em áreas de vegetação nativa;6;MATO GROSSO
2025/03;Fogo em áreas de vegetação nativa;4;PARÁ
2025/03;Fogo em áreas de vegetação nativa;89;RORAIMA
2025/04;Fogo em áreas de desmatamento consolidado;2;ACRE
2025/04;Fogo em áreas de desmatamento consolidado;4;AMAZONAS
2025/04;Fogo em áreas de desmatamento consolidado;12;MARANHÃO
2025/04;Fogo em áreas de desmatamento consolidado;101;MATO GROSSO
2025/04;Fogo em áreas de desmatamento consolidado;52;PARÁ
2025/04;Fogo em áreas de desmatamento consolidado;8;RONDÔNIA
2025/04;Fogo em áreas de desmatamento consolidado;7;RORAIMA
2025/04;Fogo em áreas de desmatamento consolidado;2;TOCANTINS
2025/04;Fogo em áreas de desmatamento recente;5;AMAZONAS
2025/04;Fogo em áreas de desmatamento recente;16;MATO GROSSO
2025/04;Fogo em áreas de desmatamento recente;8;PARÁ
2025/04;Fogo em áreas de desmatamento recente;5;RORAIMA
2025/04;Fogo em áreas de vegetação nativa;3;MATO GROSSO
2025/04;Fogo em áreas de vegetação nativa;2;RORAIMA
2024/01;Fogo em áreas de desmatamento consolidado;2;ACRE
2024/01;Fogo em áreas de desmatamento consolidado;2;AMAPÁ
2024/01;Fogo em áreas de desmatamento consolidado;65;AMAZONAS
2024/01;Fogo em áreas de desmatamento consolidado;112;MARANHÃO
2024/01;Fogo em áreas de desmatamento consolidado;372;MATO GROSSO
2024/01;Fogo em áreas de desmatamento consolidado;373;PARÁ
2024/01;Fogo em áreas de desmatamento consolidado;22;RONDÔNIA
2024/01;Fogo em áreas de desmatamento consolidado;139;RORAIMA
2024/01;Fogo em áreas de desmatamento consolidado;5;TOCANTINS
2024/01;Fogo em áreas de desmatamento recente;5;ACRE
2024/01;Fogo em áreas de desmatamento recente;50;AMAZONAS
